Threads,Time,Speedup,Efficiency
1,13.576315,0.8922952214941979,0.8922952214941979
2,8.88139,1.3639848041804268,0.6819924020902134
4,4.65147,2.6043553973260067,0.6510888493315017
8,2.69436,4.496088495969358,0.5620110619961698
16,2.26447,5.349631922701559,0.33435199516884745
