Points,Pi_Est,Error,Time
10,2.4,0.7415926535897932,0.000644
100,2.92,0.2215926535897932,0.0016
10000,3.1388,0.0027926535897933036,0.000722
1000000,3.141904,0.00031134641020669207,0.004642
10000000,3.1421156,0.0005229464102067816,0.06356
100000000,3.14186196,0.00026930641020683765,0.396222
1000000000,3.141624828,3.217441020675338e-05,3.884912
