injection_rate,latency,throughput
0.001,46.7477,0.000953125
0.002,48.0048,0.0019625
0.003,52.6463,0.00294271
0.004,55.9598,0.00391562
0.005,62.828,0.00475
0.006,72.8325,0.00577083
0.007,133.808,0.0067875
0.008,323.009,0.00759598
0.009,332.069,0.00823884
0.01,248.695,0.009
