injection_rate,latency,throughput
0.02,31.3599,0.0197188
0.05,32.5265,0.0505885
0.08,37.9811,0.0799688
0.11,492.002,0.0985692
0.14,398.77,0.107125
0.17,412.157,0.115109
0.2,438.113,0.120344
0.22,452.564,0.123109
0.24,521.566,0.128188
0.26,568.409,0.131891
