injection_rate,latency,throughput
0.001,47.4236,0.000950893
0.002,49.1242,0.00197188
0.004,52.7315,0.00390312
0.006,57.3413,0.00572656
0.008,62.8572,0.0076875
0.01,72.3846,0.00980859
0.012,76.4308,0.0117188
0.014,87.0083,0.0137227
0.016,107.303,0.0157578
0.018,140.536,0.0177156
